277.06,277.88,278.48,279.64,280.6,281.89,283.35,284.43,286.11,287.98,289.58,291.61,294.41,297.02,299.87,302.82,306.03,309.31,313.25,317.09,321.24,325.08,329.06,333.36,336.96,341.53,345.08,348.46,351.96,355.17,358.36,361.15,363.64,366.71,368.53,370.57,371.61,372.51,372.05,370.76,369.41,367.58,364.73,361.86,358.04,354.09,349.68,346.09,341.5,336.73,332.16,328.41,324.02,320.17,316.49,312.26,309.09,306.11,303.25,300.55,298.1,295.11,292.37,290.16,287.35,285.59,283.52,281.46,278.76,275.37,273.12
277.02,277.79,278.38,279.37,280.6,281.78,283.14,284.22,285.75,287.61,289.38,291.45,294.06,296.74,299.48,302.54,305.8,308.93,313.05,316.88,321.17,324.78,328.64,333.09,336.84,341.12,344.79,348.24,351.85,354.93,358.41,361.1,363.67,366.75,368.75,370.65,371.85,372.67,372.26,370.98,369.54,367.95,364.9,362.13,358.31,354.42,350.01,346.34,341.8,337.02,332.43,328.74,324.09,320.43,316.61,312.37,309.18,306.03,303.23,300.62,297.93,295.15,292.42,290.2,287.39,285.73,283.76,282,279.61,276.75,274.78
277.04,277.75,278.31,279.14,280.48,281.85,283.08,284.02,285.4,287.34,289.19,291.28,293.84,296.51,299.24,302.19,305.62,308.63,312.79,316.76,320.93,324.48,328.41,332.88,336.64,340.86,344.45,348.07,351.74,354.92,358.39,361.05,363.8,366.81,368.86,370.69,372.03,372.89,372.38,371.21,369.78,368.21,365.25,362.42,358.56,354.65,350.33,346.54,342.05,337.26,332.73,328.87,324.22,320.55,316.68,312.5,309.29,306.07,303.26,300.74,297.95,295.19,292.48,290.19,287.39,285.7,283.69,281.99,279.76,277.12,275.33
277.02,277.71,278.29,279.04,280.37,281.79,282.87,283.84,285.13,287.07,288.96,291.12,293.56,296.32,299,301.81,305.4,308.37,312.67,316.5,320.55,324.23,328.21,332.69,336.45,340.57,344.12,347.95,351.51,354.98,358.32,361.05,363.96,366.9,369,370.86,372.17,373.14,372.56,371.47,370.16,368.41,365.61,362.73,358.81,354.93,350.67,346.77,342.34,337.44,333.06,329.01,324.38,320.58,316.81,312.61,309.41,306.22,303.3,300.88,298,295.19,292.53,290.14,287.37,285.7,283.63,281.95,279.73,277.26,275.64
277,277.69,278.18,279.04,280.21,281.69,282.62,283.73,284.95,286.78,288.85,290.93,293.32,296.02,298.76,301.54,305.27,308.12,312.49,316.27,320.2,323.93,327.97,332.43,336.35,340.32,343.91,347.78,351.34,355.03,358.35,361.27,364.1,366.96,369.23,371.08,372.31,373.34,372.83,371.74,370.55,368.73,365.86,362.93,359.06,355.29,350.99,347.07,342.57,337.73,333.34,329.12,324.65,320.69,316.91,312.79,309.52,306.35,303.36,300.93,298.05,295.23,292.53,290.13,287.32,285.72,283.62,281.94,279.65,277.29,275.79
276.88,277.7,278.2,279,280.11,281.55,282.32,283.58,284.83,286.58,288.6,290.76,293.07,295.81,298.58,301.37,305.17,308.08,312.3,316.04,320.04,323.64,327.74,332.2,336.21,340.05,343.77,347.62,351.24,354.94,358.46,361.47,364.17,366.99,369.38,371.08,372.39,373.51,373.12,371.99,370.85,369.03,366.17,363.16,359.29,355.65,351.28,347.38,342.89,338.13,333.63,329.26,324.96,320.85,317,312.95,309.63,306.41,303.45,300.95,298.11,295.29,292.55,290.13,287.33,285.73,283.62,281.94,279.59,277.31,275.76
276.86,277.68,278.18,278.86,279.94,281.39,282.17,283.35,284.84,286.46,288.34,290.59,292.87,295.63,298.33,301.24,304.93,307.98,312.09,315.87,319.91,323.46,327.46,331.92,335.85,339.83,343.58,347.49,351.16,354.87,358.46,361.63,364.23,367.02,369.54,371.01,372.47,373.62,373.33,372.24,371.01,369.29,366.52,363.43,359.7,355.97,351.66,347.82,343.22,338.49,334.01,329.54,325.22,321.04,317.16,313.1,309.76,306.45,303.54,301.03,298.13,295.31,292.59,290.1,287.35,285.72,283.56,281.96,279.53,277.32,275.72
276.8,277.66,278.06,278.67,279.85,281.2,282.12,283.21,284.71,286.25,288.18,290.39,292.71,295.36,298.21,301.12,304.62,307.73,311.77,315.6,319.79,323.31,327.15,331.57,335.47,339.59,343.4,347.4,351.02,354.77,358.45,361.64,364.26,367.08,369.68,371.01,372.53,373.7,373.45,372.5,371.13,369.55,366.8,363.73,360.15,356.32,352.02,348.18,343.49,338.97,334.44,329.83,325.47,321.25,317.33,313.34,309.91,306.52,303.63,301.15,298.16,295.32,292.65,290.11,287.39,285.73,283.55,281.96,279.47,277.36,275.69
276.6,277.57,277.97,278.61,279.86,280.96,282.13,283.18,284.58,286.08,288.09,290.33,292.52,295.15,297.99,300.98,304.42,307.48,311.57,315.26,319.66,323.07,326.9,331.2,335.2,339.41,343.34,347.26,350.89,354.83,358.39,361.52,364.22,367.19,369.59,370.92,372.51,373.82,373.53,372.68,371.26,369.79,367.02,363.88,360.47,356.75,352.33,348.54,343.8,339.38,334.76,330.11,325.73,321.4,317.57,313.6,310.02,306.62,303.72,301.25,298.2,295.35,292.69,290.11,287.45,285.71,283.52,281.89,279.37,277.36,275.65
276.43,277.5,277.9,278.74,279.79,280.87,281.94,283.03,284.48,285.99,288.05,290.23,292.42,294.99,297.74,300.76,304.16,307.36,311.29,314.94,319.43,322.9,326.7,330.95,335.02,339.22,343.16,347.06,350.73,354.88,358.31,361.41,364.26,367.16,369.41,370.86,372.45,373.9,373.54,372.74,371.44,369.95,367.27,364.05,360.75,357.14,352.72,348.91,344.19,339.72,335.05,330.38,325.98,321.58,317.81,313.8,310.11,306.74,303.82,301.35,298.27,295.42,292.75,290.07,287.54,285.72,283.48,281.8,279.34,277.32,275.62
