1400.4,1397.1,1395.8,1397.1,1397,1398.8,1402.2,1403.2,1407.3,1410.1,1413,1417.1,1419.5,1424.1,1433.4,1434.4,1441.2,1449.2,1453.3,1460.3,1469.4,1476.7,1485.6,1493.7,1507.6,1520.6,1533.8,1550.1,1567.5,1588.4,1612.4,1643.6,1672.8,1710,1751.1,1803.6,1918.1,1964.3,2025.1,2100.5,2196.2,2316.6,2467.7,2649.8,2871.4,3133.7,3419.4,3766.1,4151.2,4603.6,5122.5,5705.8,6372,7089.6,7910.3,8798.6,9745.6,10794,11863,12998,14187,15408,16601,17819,19057,20262,21456,22642,23761,24869,25929
1400,1396.6,1395,1396.4,1396.5,1397.9,1402.1,1402.8,1405.9,1409.2,1412.6,1415.7,1418.7,1423,1431.8,1434,1439.1,1446.2,1451.8,1457.7,1466.6,1474.8,1482.5,1491.1,1504.5,1517,1529.5,1545.5,1563.2,1583.3,1607.4,1636,1663.9,1700.9,1740.9,1791.6,1905.3,1951.5,2011,2084.8,2176.1,2293.6,2438.3,2620.1,2835.8,3095.8,3382,3718.2,4102.1,4547.4,5068.8,5652.3,6312.4,7029.6,7845.6,8735.2,9692.3,10737,11808,12951,14148,15378,16580,17808,19051,20271,21474,22665,23796,24914,25998
1399.4,1396.3,1394.4,1395.3,1395.8,1397.3,1401.2,1402.3,1404.9,1408.4,1412.1,1414.8,1417.9,1421.7,1430.7,1433.1,1437.3,1444.3,1450.8,1455.8,1464.2,1472.9,1479.7,1488.8,1502.3,1513.9,1525.6,1542.3,1559.9,1579.2,1602.8,1630.4,1657.3,1695.2,1733.6,1782.5,1894.5,1941.6,2000.7,2073.4,2162.8,2277.8,2419.1,2598.6,2810.9,3069,3353,3690.3,4071.1,4513.1,5032.1,5614.3,6277,6988.6,7808.8,8697.8,9657.3,10710,11775,12922,14122,15357,16566,17801,19047,20277,21484,22676,23811,24936,26027
1398.5,1395,1393.1,1394,1395.6,1396.9,1400.3,1402,1404.6,1407.5,1411.2,1413.5,1416.8,1419.8,1429.4,1431.9,1434.9,1442,1449.2,1454,1462.8,1470.5,1477.5,1486.8,1499.4,1510,1521.6,1538.6,1555.5,1575.1,1597.7,1624.3,1651.1,1689.1,1726.4,1774.1,1884,1932.1,1992.5,2061.4,2149.1,2261.3,2401.7,2577,2787.7,3043.1,3326,3661,4040.3,4479.5,4996.7,5576.2,6236.7,6955.1,7767,8661.9,9624,10677,11746,12899,14099,15338,16554,17794,19045,20283,21493,22689,23824,24958,26055
1397.3,1394.1,1391.6,1393.1,1395.1,1396,1398.2,1401.2,1403.6,1406,1409.7,1412.3,1415.9,1417.5,1427.9,1430.1,1431.6,1439.9,1447.3,1451.9,1461.4,1467.9,1475.3,1485,1496.5,1506.6,1518.4,1535.1,1551.3,1571.3,1592.1,1619.4,1645.1,1681.9,1719.3,1765.7,1875.4,1922.4,1984,2050.5,2136.6,2247.1,2385.4,2556.2,2765.4,3017.9,3302.8,3631.8,4006.9,4447,4961.8,5538.5,6197.3,6921.7,7731.8,8620.5,9592.6,10646,11717,12873,14082,15323,16542,17786,19044,20286,21499,22701,23840,24978,26082
1396.7,1393.3,1390.8,1392.5,1394.8,1395.5,1397.4,1400.1,1402.7,1404.9,1408.6,1411.6,1415.4,1416.3,1426.5,1428.4,1430,1438.8,1445.5,1449.2,1459.9,1466.4,1473,1483,1493,1503.8,1515.4,1531,1547.3,1566.8,1587,1614.8,1639.6,1674.1,1712.6,1758.1,1866.9,1913.1,1974.3,2040.1,2126.1,2232.8,2369.7,2537.9,2743.4,2997.7,3276.4,3606.1,3973.1,4415.9,4928.4,5502.3,6159.1,6881.7,7697.2,8589.1,9556,10614,11694,12847,14064,15307,16531,17777,19041,20285,21502,22709,23853,24998,26104
1396.5,1392.6,1390.7,1391.8,1394.5,1394.7,1397.4,1398.5,1401.2,1403.8,1407.6,1410.6,1413.8,1415.1,1424.5,1426.3,1429.5,1437.2,1443.4,1447.3,1457.6,1464.8,1470.8,1480.4,1489.6,1501.2,1512.5,1527.5,1543.7,1561.9,1582.7,1609.8,1634.8,1667.5,1705.6,1751,1858.8,1904.4,1965.1,2030.2,2116.2,2218.3,2352.5,2518.4,2722.9,2975,3252.2,3580.2,3944,4385.8,4897.2,5467.2,6123.3,6843.1,7658.1,8559.1,9525.7,10582,11666,12825,14041,15291,16519,17766,19037,20282,21503,22715,23863,25013,26125
1396,1392.3,1390.8,1391.6,1393.8,1394.2,1397.4,1397.2,1400.7,1403.6,1407.2,1409.8,1413,1414.6,1423.5,1425.4,1429.9,1436.2,1442.5,1446.2,1455.5,1463,1469.3,1478.1,1487.2,1498.9,1510.9,1525.5,1540.6,1558.6,1579.5,1606.4,1630.4,1661.9,1699.3,1745.1,1852.6,1897.3,1956.7,2022.6,2105.5,2207.1,2336.8,2502,2702.5,2953.2,3231.7,3551.6,3917.1,4352.2,4868.6,5433.9,6089.3,6806.6,7619.8,8521.3,9494.1,10550,11637,12797,14016,15272,16505,17752,19030,20277,21502,22722,23875,25028,26136
1395.8,1392.6,1391,1391.5,1393.4,1394.2,1397.3,1397.5,1400.3,1403.9,1406.9,1409.2,1412.1,1414.3,1422.9,1424.9,1430.3,1436,1441.4,1445.1,1454.5,1461.7,1467.5,1476,1485.9,1497.2,1509.8,1522.9,1538.2,1555.6,1577.2,1603.6,1626,1656.8,1694.3,1739.9,1846.8,1890.9,1949.1,2015.2,2095.4,2196.3,2322.2,2485.7,2683,2932.3,3208.9,3524.9,3892.7,4320.7,4841,5403.4,6056.4,6776,7588.2,8489.9,9460.5,10517,11605,12767,13995,15247,16491,17737,19022,20271,21500,22726,23884,25039,26152
1395.9,1392.4,1391,1391.7,1393.2,1393.3,1396.2,1398.5,1400.3,1403.2,1406.4,1407.9,1411.1,1413.1,1422.6,1424,1430.1,1435.5,1440.4,1444.2,1452.9,1459.6,1465.5,1473.8,1485,1494.9,1507.9,1520,1535.9,1552.3,1574.8,1599.6,1621.7,1652.5,1690.1,1734.4,1840.4,1884.2,1941.5,2006.7,2086.6,2184.2,2308.9,2470,2665,2911.3,3187.5,3503.6,3870.7,4295.1,4812.5,5374,6027.6,6743.7,7556.6,8458.7,9424.6,10482,11572,12741,13972,15219,16472,17720,19011,20264,21499,22728,23890,25052,26165
